time_start,time_end,model,launched,destroyed,not_reach_goal,still_attacking,target,launch_place
2022-10-05 02:15,2022-10-05 04:15,Shahed-131,11,11,0,0,Odesa,Black Sea
2022-10-06 03:02,2022-10-06 04:02,Shahed-136/Geran-2,19,16,1,2,Kharkiv,Kursk Oblast
2022-10-07 01:45,2022-10-07 05:45,Shahed-136,14,13,0,1,Dnipro,Crimea
2022-10-08 01:44,2022-10-08 05:44,Kh-101,3,3,0,0,Mykolaiv,Belgorod Oblast
2022-10-09 00:05,2022-10-09 04:05,Kh-555,7,6,0,1,Kharkiv,Voronezh Oblast
2022-10-09 02:38,2022-10-09 05:38,Shahed-136,16,14,0,2,Vinnytsia,Caspian Sea
2022-10-09 03:34,2022-10-09 04:34,Kh-101,2,2,0,0,Rivne,Bryansk Oblast
2022-10-10 02:36,2022-10-10 04:36,Iskander-K,5,5,0,0,Chernihiv,Black Sea
2022-10-10 00:42,2022-10-10 02:42,Tornado-S,4,2,0,2,Vinnytsia,Belgorod Oblast
2022-10-10 00:54,2022-10-10 02:54,Shahed-136,17,13,1,3,Zhytomyr,Black Sea
2022-10-11 02:10,2022-10-11 05:10,Kh-47M2 Kinzhal,6,1,1,4,Mykolaiv,Kursk Oblast
2022-10-11 02:44,2022-10-11 03:44,Shahed-136,19,19,0,0,Poltava,Krasnodar Krai
2022-10-11 01:10,2022-10-11 05:10,Kh-101,2,1,0,1,Lviv,Belgorod Oblast
2022-10-11 01:43,2022-10-11 04:43,Shahed-131,13,12,0,1,Zhytomyr,Caspian Sea
2022-10-12 02:25,2022-10-12 05:25,Shahed-136,21,17,2,2,Kharkiv,Kursk Oblast
2022-10-14 01:41,2022-10-14 05:41,Shahed-136,23,20,0,3,Lviv,Crimea
2022-10-14 01:16,2022-10-14 03:16,Shahed-131,16,15,1,0,Dnipro,Belarus
2022-10-14 02:47,2022-10-14 06:47,KN-25,6,3,2,1,Rivne,Bryansk Oblast
2022-10-15 03:05,2022-10-15 04:05,Shahed-131,23,20,1,2,Zhytomyr,Black Sea
2022-10-15 01:40,2022-10-15 03:40,Shahed-136,22,19,1,2,Vinnytsia,Bryansk Oblast
2022-10-16 03:38,2022-10-16 07:38,Shahed-131,23,21,0,2,Donetsk,Belgorod Oblast
2022-10-16 00:43,2022-10-16 01:43,Shahed-136,18,15,0,3,Sumy,Belarus
